Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 11550, 23100, 11550, 23100
1, 2, 111550, 123100, 11550, 23100
1, 3, 211550, 223100, 11550, 23100
1, 4, 311550, 323100, 11550, 23100
1, 5, 411550, 423100, 11550, 23100
1, 6, 511550, 523100, 11550, 23100
1, 7, 611550, 623100, 11550, 23100
1, 8, 711550, 723100, 11550, 23100
2, 9, 10300, 20600, 10300, 20600
2, 10, 110300, 120600, 10300, 20600
2, 11, 210300, 220600, 10300, 20600
2, 12, 310300, 320600, 10300, 20600
2, 13, 410300, 420600, 10300, 20600
2, 14, 510300, 527800, 10300, 27800
2, 15, 610300, 620600, 10300, 20600
2, 16, 710300, 720600, 10300, 20600
3, 17, 11150, 22300, 11150, 22300
3, 18, 160850, 161700, 850, 1700
3, 19, 320850, 329599, 850, 9599
3, 20, 480850, 481700, 850, 1700
3, 21, 640850, 642700, 850, 2700
4, 22, 15500, 41999, 15500, 41999
4, 23, 115500, 137599, 15500, 37599
4, 24, 215500, 237599, 15500, 37599
4, 25, 315500, 341999, 15500, 41999
4, 26, 415500, 437599, 15500, 37599
4, 27, 515500, 537599, 15500, 37599
4, 28, 615500, 637599, 15500, 37599
4, 29, 715500, 737599, 15500, 37599
5, 30, 20100, 49499, 20100, 49499
5, 31, 119250, 141000, 19250, 41000
5, 32, 219250, 241000, 19250, 41000
5, 33, 319250, 342700, 19250, 42700
5, 34, 419250, 441000, 19250, 41000
5, 35, 519250, 545700, 19250, 45700
5, 36, 619250, 641000, 19250, 41000
5, 37, 719250, 741000, 19250, 41000
6, 38, 16650, 47799, 16650, 47799
6, 39, 166350, 172700, 6350, 12700
6, 40, 326350, 348599, 6350, 28599
6, 41, 486350, 492700, 6350, 12700
6, 42, 646350, 653700, 6350, 13700
7, 43, 23400, 56099, 23400, 56099
7, 44, 122550, 147600, 22550, 47600
7, 45, 222550, 247600, 22550, 47600
7, 46, 322550, 354199, 22550, 54199
7, 47, 422550, 447600, 22550, 47600
7, 48, 522550, 552300, 22550, 52300
7, 49, 622550, 648300, 22550, 48300
7, 50, 722550, 747600, 22550, 47600
8, 51, 19950, 54399, 19950, 54399
8, 52, 169650, 179300, 9650, 19300
8, 53, 329650, 355199, 9650, 35199
8, 54, 489650, 499300, 9650, 19300
8, 55, 649650, 660300, 9650, 20300
9, 56, 23900, 62299, 23900, 62299
9, 57, 173600, 187200, 13600, 27200
9, 58, 333600, 363099, 13600, 43099
9, 59, 493600, 507200, 13600, 27200
9, 60, 653600, 668200, 13600, 28200
