Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 18480, 23100, 18480, 23100
1, 2, 118480, 123100, 18480, 23100
1, 3, 218480, 223100, 18480, 23100
1, 4, 318480, 323100, 18480, 23100
1, 5, 418480, 423100, 18480, 23100
1, 6, 518480, 523100, 18480, 23100
1, 7, 618480, 623100, 18480, 23100
1, 8, 718480, 723100, 18480, 23100
2, 9, 16480, 20600, 16480, 20600
2, 10, 116480, 120600, 16480, 20600
2, 11, 216480, 220600, 16480, 20600
2, 12, 316480, 320600, 16480, 20600
2, 13, 416480, 420600, 16480, 20600
2, 14, 518240, 527800, 18240, 27800
2, 15, 616480, 620600, 16480, 20600
2, 16, 716480, 720600, 16480, 20600
3, 17, 17840, 22300, 17840, 22300
3, 18, 161360, 161700, 1360, 1700
3, 19, 321360, 337780, 1360, 17780
3, 20, 481360, 481700, 1360, 1700
3, 21, 641360, 642700, 1360, 2700
4, 22, 24800, 48899, 24800, 48899
4, 23, 124800, 143980, 24800, 43980
4, 24, 224800, 243980, 24800, 43980
4, 25, 324800, 348100, 24800, 48100
4, 26, 424800, 443980, 24800, 43980
4, 27, 524800, 545740, 24800, 45740
4, 28, 624800, 643980, 24800, 43980
4, 29, 724800, 743980, 24800, 43980
5, 30, 32160, 55499, 32160, 55499
5, 31, 130800, 141000, 30800, 41000
5, 32, 230800, 241000, 30800, 41000
5, 33, 330800, 342700, 30800, 42700
5, 34, 430800, 441000, 30800, 41000
5, 35, 532560, 545700, 32560, 45700
5, 36, 630800, 641000, 30800, 41000
5, 37, 730800, 741000, 30800, 41000
6, 38, 26640, 42000, 26640, 42000
6, 39, 170160, 172700, 10160, 12700
6, 40, 330160, 348899, 10160, 28899
6, 41, 490160, 492700, 10160, 12700
6, 42, 650160, 653700, 10160, 13700
7, 43, 37440, 62099, 37440, 62099
7, 44, 129700, 147600, 29700, 47600
7, 45, 229700, 247600, 29700, 47600
7, 46, 326599, 355899, 26599, 55899
7, 47, 429700, 447600, 29700, 47600
7, 48, 534400, 552300, 34400, 52300
7, 49, 629700, 647600, 29700, 47600
7, 50, 729700, 747600, 29700, 47600
8, 51, 29700, 48600, 29700, 48600
8, 52, 175440, 179300, 15440, 19300
8, 53, 335440, 355499, 15440, 35499
8, 54, 495440, 499300, 15440, 19300
8, 55, 655440, 660300, 15440, 20300
9, 56, 36020, 56500, 36020, 56500
9, 57, 181760, 187200, 21760, 27200
9, 58, 341760, 363399, 21760, 43399
9, 59, 501760, 507200, 21760, 27200
9, 60, 661760, 668200, 21760, 28200
