Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,30100,30100,100000,1
1,2,100000,100000,30100,30100,200000,2 
1,3,200000,200000,30100,30100,300000,3 
1,4,300000,300000,30100,30100,400000,4 
1,5,400000,400000,30100,30100,500000,5 
1,6,500000,500000,30100,30100,600000,6 
1,7,600000,600000,30100,30100,700000,7 
1,8,700000,700000,30100,30100,800000,8 
2,9,0,0,27600,27600,100000,9
2,10,100000,100000,27600,27600,200000,10
2,11,200000,200000,27600,27600,300000,11
2,12,300000,300000,27600,27600,400000,12
2,13,400000,400000,27600,27600,500000,13
2,14,500000,500000,27600,27600,600000,14
2,15,600000,600000,27600,27600,700000,15
2,16,700000,700000,27600,27600,800000,16
3,17,0,0,8700,8700,160000,17
3,18,160000,160000,8700,8700,320000,18
3,19,320000,320000,8700,8700,480000,19
3,20,480000,480000,8700,8700,640000,20
3,21,640000,640000,8700,8700,800000,21
4,22,0,0,14900,14900,100000,22
4,23,100000,100000,14900,14900,200000,23
4,24,200000,200000,14900,14900,300000,24
4,25,300000,300000,14900,14900,400000,25
4,26,400000,400000,14900,14900,500000,26
4,27,500000,500000,14900,14900,600000,27
4,28,600000,600000,14900,14900,700000,28
4,29,700000,700000,14900,14900,800000,29
5,30,0,0,24900,24900,100000,30
5,31,100000,100000,24900,24900,200000,31
5,32,200000,200000,24900,24900,300000,32
5,33,300000,300000,24900,24900,400000,33
5,34,400000,400000,24900,24900,500000,34
5,35,500000,500000,24900,24900,600000,35
5,36,600000,600000,24900,24900,700000,36
5,37,700000,700000,24900,24900,800000,37
6,38,0,0,18000,18000,160000,38
6,39,160000,160000,18000,18000,320000,39
6,40,320000,320000,18000,18000,480000,40
6,41,480000,480000,18000,18000,640000,41
6,42,640000,640000,18000,18000,800000,42
7,43,0,0,13600,13600,100000,43
7,44,100000,100000,13600,13600,200000,44
7,45,200000,200000,13600,13600,300000,45
7,46,300000,300000,13600,13600,400000,46
7,47,400000,400000,13600,13600,500000,47
7,48,500000,500000,13600,13600,600000,48
7,49,600000,600000,13600,13600,700000,49
7,50,700000,700000,13600,13600,800000,50
8,51,0,0,13600,13600,160000,51
8,52,160000,160000,13600,13600,320000,52
8,53,320000,320000,13600,13600,480000,53
8,54,480000,480000,13600,13600,640000,54
8,55,640000,640000,13600,13600,800000,55
9,56,0,0,14900,14900,160000,56
9,57,160000,160000,14900,14900,320000,57
9,58,320000,320000,14900,14900,480000,58
9,59,480000,480000,14900,14900,640000,59
9,60,640000,640000,14900,14900,800000,60
