80	1	80	1	1
80	3	80	2	1
80	2	80	3	1
80	2	80	4	1
80	5	80	5	1
80	2	80	6	1
80	1	80	7	2
80	1	80	8	2
80	1	80	9	2
80	1	80	10	2
80	1	80	11	2
80	1	80	12	2
50	1	50	13	3
50	1	50	14	3
50	1	50	15	3
50	1	50	16	3
50	1	50	17	3
50	1	50	18	3
60	1	60	19	4
60	1	60	20	4
60	1	60	21	4
60	1	60	22	4
60	1	60	23	4
60	1	60	24	4
80	5	80	25	5
80	4	80	26	5
80	1	80	27	5
80	3	80	28	5
80	5	80	29	5
80	1	80	30	5
200	1	200	31	6
200	1	200	32	6
200	1	200	33	6
200	1	200	34	6
200	1	200	35	6
200	1	200	36	6
160	1	160	37	7
160	1	160	38	7
160	1	160	39	7
160	1	160	40	7
160	1	160	41	7
160	1	160	42	7
100	1	100	43	8
100	1	100	44	8
100	1	100	45	8
100	1	100	46	8
100	1	100	47	8
100	1	100	48	8
-
180	1	180	1	1
180	2	180	2	1
180	1	180	3	1
180	1	180	4	1
150	16	150	5	2
150	3	150	6	2
150	9	150	7	2
150	7	150	8	2
150	57	150	9	3
150	14	150	10	3
150	12	150	11	3
150	16	150	12	3
140	1	140	13	4
140	1	140	14	4
140	1	140	15	4
140	1	140	16	4
100	1	100	17	5
100	1	100	18	5
100	1	100	19	5
100	1	100	20	5
-
200	2	200	1	1
200	7	200	2	1
200	7	200	3	1
200	3	200	4	1
200	3	200	5	1
50	2	50	6	2
50	1	50	7	2
50	4	50	8	2
50	11	50	9	2
50	9	50	10	2
140	1	140	11	3
140	4	140	12	3
140	3	140	13	3
140	14	140	14	3
140	3	140	15	3
-
200	2	200	1	1
200	3	200	2	1
200	1	200	3	1
200	1	200	4	1
200	2	200	5	1
100	1	100	6	2
100	2	100	7	2
100	5	100	8	2
100	2	100	9	2
100	3	100	10	2
100	2	100	11	3
100	3	100	12	3
100	1	100	13	3
100	1	100	14	3
100	4	100	15	3
150	2	150	16	4
150	1	150	17	4
150	9	150	18	4
150	1	150	19	4
150	4	150	20	4
140	1	140	21	5
140	1	140	22	5
140	1	140	23	5
140	1	140	24	5
140	1	140	25	5
100	1	100	26	6
100	1	100	27	6
100	1	100	28	6
100	1	100	29	6
100	1	100	30	6
180	2	180	31	7
180	11	180	32	7
180	8	180	33	7
180	4	180	34	7
180	7	180	35	7
-
100	1	100	1	1
100	1	100	2	1
100	1	100	3	1
100	1	100	4	1
100	1	100	5	1
100	1	100	6	1
180	4	180	7	2
180	1	180	8	2
180	9	180	9	2
180	2	180	10	2
180	8	180	11	2
180	2	180	12	2
180	1	180	13	3
180	1	180	14	3
180	1	180	15	3
180	3	180	16	3
180	4	180	17	3
180	2	180	18	3
200	4	200	19	4
200	1	200	20	4
200	3	200	21	4
200	4	200	22	4
200	8	200	23	4
200	35	200	24	4
200	1	200	25	5
200	1	200	26	5
200	1	200	27	5
