Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,6123,6123,1000000,1
1,2,50000,50000,6123,6123,1000000,2
1,3,100000,100000,6123,6123,1000000,3
1,4,150000,150000,6123,6123,1000000,4
2,5,0,0,6123,6123,1000000,5
2,6,50000,50000,6123,6123,1000000,6
2,7,100000,100000,6123,6123,1000000,7
2,8,150000,150000,6123,6123,1000000,8
3,9,0,0,14097,14097,1000000,9
3,10,100000,100000,14097,14097,1000000,10
4,11,0,0,24062,24062,1000000,11
5,12,0,0,6119,6119,1000000,12
5,13,50000,50000,6119,6119,1000000,13
5,14,100000,100000,6119,6119,1000000,14
5,15,150000,150000,6119,6119,1000000,15
6,16,0,0,7094,7094,1000000,16
6,17,50000,50000,7094,7094,1000000,17
6,18,100000,100000,7094,7094,1000000,18
6,19,150000,150000,7094,7094,1000000,19
7,20,0,0,7769,7769,1000000,20
7,21,50000,50000,7769,7769,1000000,21
7,22,100000,100000,7769,7769,1000000,22
7,23,150000,150000,7769,7769,1000000,23
8,24,0,0,8928,8928,1000000,24
8,25,50000,50000,8928,8928,1000000,25
8,26,100000,100000,8928,8928,1000000,26
8,27,150000,150000,8928,8928,1000000,27
9,28,0,0,15094,15094,1000000,28
9,29,100000,100000,15094,15094,1000000,29
10,30,0,0,15088,15088,1000000,30
10,31,100000,100000,15088,15088,1000000,31
11,32,0,0,44005,44005,1000000,32
12,33,0,0,45023,45023,1000000,33
13,34,0,0,25069,25069,1000000,34
