Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1,1,0,0,3123,3123
1,2,0,0,53123,53123
1,3,0,0,103123,103123
1,4,0,0,153123,153123
6,9,0,0,11097,11097
6,10,0,0,114220,114220
9,11,0,0,24185,24185
2,12,0,0,14216,14216
2,13,0,0,56242,56242
2,14,0,0,115101,115101
2,15,0,0,153119,153119
3,16,0,0,18310,18310
3,17,0,0,60336,60336
3,18,0,0,118314,118314
3,19,0,0,157213,157213
4,20,0,0,28954,28954
4,21,0,0,65105,65105
4,22,0,0,123083,123083
4,23,0,0,157892,157892
5,24,0,0,36332,36332
5,25,0,0,71033,71033
5,26,0,0,141105,141105
5,27,0,0,163141,163141
7,28,0,0,30404,30404
7,29,0,0,135177,135177
8,30,0,0,48420,48420
8,31,0,0,149258,149258
10,32,0,0,69959,69959
11,33,0,0,111982,111982
12,34,0,0,137170,137170
