Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,3123,3123,50000,1
1,2,50000,50000,3123,3123,100000,2
1,3,100000,100000,3123,3123,150000,3
1,4,150000,150000,3123,3123,200000,4
2,5,0,0,3123,3123,50000,5
2,6,50000,50000,3123,3123,100000,6
2,7,100000,100000,3123,3123,150000,7
2,8,150000,150000,3123,3123,200000,8
3,9,0,0,11097,11097,100000,9
3,10,100000,100000,11097,11097,200000,10
4,11,0,0,21062,21062,200000,11
5,12,0,0,3119,3119,50000,12
5,13,50000,50000,3119,3119,100000,13
5,14,100000,100000,3119,3119,150000,14
5,15,150000,150000,3119,3119,200000,15
6,16,0,0,4094,4094,50000,16
6,17,50000,50000,4094,4094,100000,17
6,18,100000,100000,4094,4094,150000,18
6,19,150000,150000,4094,4094,200000,19
7,20,0,0,4769,4769,50000,20
7,21,50000,50000,4769,4769,100000,21
7,22,100000,100000,4769,4769,150000,22
7,23,150000,150000,4769,4769,200000,23
8,24,0,0,5928,5928,50000,24
8,25,50000,50000,5928,5928,100000,25
8,26,100000,100000,5928,5928,150000,26
8,27,150000,150000,5928,5928,200000,27
9,28,0,0,12094,12094,100000,28
9,29,100000,100000,12094,12094,200000,29
10,30,0,0,12088,12088,100000,30
10,31,100000,100000,12088,12088,200000,31
11,32,0,0,41005,41005,200000,32
12,33,0,0,42023,42023,200000,33
13,34,0,0,22069,22069,200000,34
