Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 1562, 3123, 1562, 3123
1, 2, 51562, 85229, 1562, 35229
1, 3, 101562, 127252, 1562, 27252
1, 4, 151562, 181729, 1562, 31729
6, 9, 5549, 11097, 5549, 11097
6, 10, 105549, 138349, 5549, 38349
9, 11, 12093, 24185, 12093, 24185
2, 12, 7109, 14216, 7109, 14216
2, 13, 53122, 141468, 53122, 141468
2, 14, 103122, 169241, 103122, 169241
2, 15, 153122, 193711, 153122, 193711
3, 16, 9156, 18310, 9156, 18310
3, 17, 53609, 148681, 53609, 148681
3, 18, 103609, 175880, 103609, 175880
3, 19, 153609, 188942, 153609, 188942
4, 20, 11540, 47260, 11540, 47260
4, 21, 55993, 183014, 55993, 183014
4, 22, 105993, 190671, 105993, 190671
4, 23, 155993, 193711, 155993, 193711
5, 24, 14504, 97211, 14504, 97211
5, 25, 58957, 195193, 58957, 195193
5, 26, 108957, 197273, 108957, 197273
5, 27, 158957, 199639, 158957, 199639
7, 28, 15203, 42207, 15203, 42207
7, 29, 111596, 186263, 111596, 186263
8, 30, 21247, 104530, 21247, 104530
8, 31, 117640, 198351, 117640, 198351
10, 32, 32595, 82106, 32595, 82106
11, 33, 53607, 124129, 53607, 124129
12, 34, 64641, 170380, 64641, 170380
