Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,1562,3123,50000,1
1,2,50000,50000,1562,3123,100000,2
1,3,100000,100000,1562,3123,150000,3
1,4,150000,150000,1562,3123,200000,4
6,9,0,0,11097,11097,100000,9
6,10,100000,100000,11097,11097,200000,10
9,11,0,0,21062,21062,200000,11
2,12,3123,3123,1560,3119,50000,12
2,13,50000,50000,1560,3119,100000,13
2,14,100000,100000,1560,3119,150000,14
2,15,150000,150000,1560,3119,200000,15
3,16,3123,3123,2047,4094,50000,16
3,17,50000,50000,2047,4094,100000,17
3,18,100000,100000,2047,4094,150000,18
3,19,150000,150000,2047,4094,200000,19
4,20,3123,3123,2384,4769,50000,20
4,21,50000,50000,2384,4769,100000,21
4,22,100000,100000,2384,4769,150000,22
4,23,150000,150000,2384,4769,200000,23
5,24,3123,3123,2964,5928,50000,24
5,25,50000,50000,2964,5928,100000,25
5,26,100000,100000,2964,5928,150000,26
5,27,150000,150000,2964,5928,200000,27
7,28,11097,11097,6047,12094,100000,28
7,29,100000,100000,6047,12094,200000,29
8,30,11097,11097,6044,12088,100000,30
8,31,100000,100000,6044,12088,200000,31
10,32,21062,21062,20502,41005,200000,32
11,33,21062,21062,21012,42023,200000,33
12,34,21062,21062,11034,22069,200000,34
