Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,3123,3123,50000,1
1,2,50000,50000,3123,3123,100000,2
1,3,100000,100000,3123,3123,150000,3
1,4,150000,150000,3123,3123,200000,4
6,9,0,0,11097,11097,100000,9
6,10,100000,100000,11097,11097,200000,10
9,11,0,0,21062,21062,200000,11
2,12,0,0,3119,3119,50000,12
2,13,0,0,3119,3119,100000,13
2,14,0,0,3119,3119,150000,14
2,15,0,0,3119,3119,200000,15
3,16,0,0,4094,4094,50000,16
3,17,0,0,4094,4094,100000,17
3,18,0,0,4094,4094,150000,18
3,19,0,0,4094,4094,200000,19
4,20,0,0,4769,4769,50000,20
4,21,0,0,4769,4769,100000,21
4,22,0,0,4769,4769,150000,22
4,23,0,0,4769,4769,200000,23
5,24,0,0,5928,5928,50000,24
5,25,0,0,5928,5928,100000,25
5,26,0,0,5928,5928,150000,26
5,27,0,0,5928,5928,200000,27
7,28,0,0,12094,12094,100000,28
7,29,0,0,12094,12094,200000,29
8,30,0,0,12088,12088,100000,30
8,31,0,0,12088,12088,200000,31
10,32,0,0,41005,41005,200000,32
11,33,0,0,42023,42023,200000,33
12,34,0,0,22069,22069,200000,34
