Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 3123, 3123, 3123, 3123
1, 2, 53123, 53123, 3123, 3123
1, 3, 103123, 103123, 3123, 3123
1, 4, 153123, 153123, 3123, 3123
6, 9, 11097, 11097, 11097, 11097
6, 10, 114220, 114220, 14220, 14220
9, 11, 24185, 24185, 24185, 24185
2, 12, 14216, 14216, 14216, 14216
2, 13, 56242, 56242, 56242, 56242
2, 14, 115100, 117339, 115100, 117339
2, 15, 156242, 156242, 156242, 156242
3, 16, 18310, 18310, 18310, 18310
3, 17, 60336, 60336, 60336, 60336
3, 18, 118314, 121433, 118314, 121433
3, 19, 157217, 158293, 157217, 158293
4, 20, 23079, 28954, 23079, 28954
4, 21, 65105, 65105, 65105, 65105
4, 22, 123083, 133413, 123083, 133413
4, 23, 161986, 163062, 161986, 163062
5, 24, 29007, 36332, 29007, 36332
5, 25, 71033, 71033, 71033, 71033
5, 26, 129011, 146311, 129011, 146311
5, 27, 167914, 168990, 167914, 168990
7, 28, 30403, 36279, 30403, 36279
7, 29, 127194, 141105, 127194, 141105
8, 30, 42491, 48420, 42491, 48420
8, 31, 139282, 153193, 139282, 153193
10, 32, 69958, 75887, 69958, 75887
11, 33, 111981, 117910, 111981, 117910
12, 34, 136288, 154199, 136288, 154199
