Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,1561,3123,1000000,1
1,2,50000,50000,1561,3123,1000000,2
1,3,100000,100000,1561,3123,1000000,3
1,4,150000,150000,1561,3123,1000000,4
2,5,0,0,1561,3123,1000000,5
2,6,50000,50000,1561,3123,100000,6
2,7,100000,100000,1561,3123,1000000,7
2,8,150000,150000,1561,3123,1000000,8
3,9,0,0,5548,11097,100000,9
3,10,100000,100000,5548,11097,1000000,10
4,11,0,0,10531,21062,1000000,11
5,12,0,0,1559,3119,1000000,12
5,13,50000,50000,1559,3119,100000,13
5,14,100000,100000,1559,3119,1000000,14
5,15,150000,150000,1559,3119,1000000,15
6,16,0,0,2047,4094,1000000,16
6,17,50000,50000,2047,4094,1000000,17
6,18,100000,100000,2047,4094,1000000,18
6,19,150000,150000,2047,4094,1000000,19
7,20,0,0,2384,4769,1000000,20
7,21,50000,50000,2384,4769,1000000,21
7,22,100000,100000,2384,4769,1000000,22
7,23,150000,150000,2384,4769,1000000,23
8,24,0,0,2964,5928,1000000,24
8,25,50000,50000,2964,5928,1000000,25
8,26,100000,100000,2964,5928,1000000,26
8,27,150000,150000,2964,5928,1000000,27
9,28,0,0,6047,12094,1000000,28
9,29,100000,100000,6047,12094,1000000,29
10,30,0,0,6044,12088,1000000,30
10,31,100000,100000,6044,12088,1000000,31
11,32,0,0,20502,41005,1000000,32
12,33,0,0,21011,42023,1000000,33
13,34,0,0,11034,22069,1000000,34
