Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 6123, 6123, 6123, 6123
1, 2, 56253, 56253, 6253, 6253
1, 3, 106123, 106123, 6123, 6123
1, 4, 160893, 160893, 10893, 10893
2, 5, 6123, 6123, 6123, 6123
2, 6, 62376, 62376, 12376, 12376
2, 7, 112246, 112246, 12246, 12246
2, 8, 167016, 167016, 17016, 17016
3, 9, 20220, 20220, 20220, 20220
3, 10, 124588, 124588, 24588, 24588
4, 11, 30185, 30185, 30185, 30185
5, 12, 26339, 26339, 26339, 26339
5, 13, 66486, 66486, 16486, 16486
5, 14, 118365, 118365, 18365, 18365
5, 15, 173135, 173135, 23135, 23135
6, 16, 33433, 33433, 33433, 33433
6, 17, 69470, 69470, 19470, 19470
6, 18, 125459, 125459, 25459, 25459
6, 19, 180229, 180229, 30229, 30229
7, 20, 41202, 41202, 41202, 41202
7, 21, 77239, 77239, 27239, 27239
7, 22, 133228, 133228, 33228, 33228
7, 23, 187998, 187998, 37998, 37998
8, 24, 50130, 50130, 50130, 50130
8, 25, 86167, 86167, 36167, 36167
8, 26, 142156, 142156, 42156, 42156
8, 27, 196926, 196926, 46926, 46926
9, 28, 45279, 45279, 45279, 45279
9, 29, 139682, 139682, 39682, 39682
10, 30, 60367, 60367, 60367, 60367
10, 31, 154770, 154770, 54770, 54770
11, 32, 110491, 110491, 110491, 110491
12, 33, 187179, 187179, 187179, 187179
13, 34, 212248, 212248, 212248, 212248
