Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
1, 1, 1561, 3123, 1561, 3123
1, 2, 51561, 53123, 1561, 3123
1, 3, 101561, 103123, 1561, 3123
1, 4, 151561, 153123, 1561, 3123
2, 5, 1561, 3123, 1561, 3123
2, 6, 51561, 53123, 1561, 3123
2, 7, 101561, 103123, 1561, 3123
2, 8, 151561, 153123, 1561, 3123
3, 9, 5548, 11097, 5548, 11097
3, 10, 105548, 114220, 5548, 14220
4, 11, 10531, 21062, 10531, 21062
5, 12, 3120, 6242, 3120, 6242
5, 13, 53120, 60335, 3120, 10335
5, 14, 103120, 107209, 3120, 7209
5, 15, 153120, 156242, 3120, 6242
6, 16, 3608, 7217, 3608, 7217
6, 17, 53608, 60336, 3608, 10336
6, 18, 103608, 108184, 3608, 8184
6, 19, 153608, 157217, 3608, 7217
7, 20, 5992, 11986, 5992, 11986
7, 21, 55992, 65105, 5992, 15105
7, 22, 105992, 112953, 5992, 12953
7, 23, 155992, 161986, 5992, 11986
8, 24, 8956, 26990, 8956, 26990
8, 25, 58956, 71033, 8956, 21033
8, 26, 108956, 120148, 8956, 20148
8, 27, 158956, 167914, 8956, 17914
9, 28, 11595, 24080, 11595, 24080
9, 29, 111595, 126314, 11595, 26314
10, 30, 17639, 36168, 17639, 36168
10, 31, 117639, 138402, 17639, 38402
11, 32, 31033, 62067, 31033, 62067
12, 33, 52044, 104090, 52044, 104090
13, 34, 63078, 130928, 63078, 130928
