Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
1,1,0,0,3000,3000,50000,1
1,2,50000,50000,3000,3000,100000,2
1,3,100000,100000,3000,3000,150000,3
1,4,150000,150000,3000,3000,200000,4
2,5,0,0,3000,3000,50000,5
2,6,50000,50000,3000,3000,100000,6
2,7,100000,100000,3000,3000,150000,7
2,8,150000,150000,3000,3000,200000,8
3,9,0,0,10800,10800,100000,9
3,10,100000,100000,10800,10800,200000,10
4,11,0,0,22100,22100,200000,11
5,12,0,0,3000,3000,50000,12
5,13,50000,50000,3000,3000,100000,13
5,14,100000,100000,3000,3000,150000,14
5,15,150000,150000,3000,3000,200000,15
6,16,0,0,3900,3900,50000,16
6,17,50000,50000,3900,3900,100000,17
6,18,100000,100000,3900,3900,150000,18
6,19,150000,150000,3900,3900,200000,19
7,20,0,0,3000,3000,50000,20
7,21,50000,50000,3000,3000,100000,21
7,22,100000,100000,3000,3000,150000,22
7,23,150000,150000,3000,3000,200000,23
8,24,0,0,4100,4100,50000,24
8,25,50000,50000,4100,4100,100000,25
8,26,100000,100000,4100,4100,150000,26
8,27,150000,150000,4100,4100,200000,27
9,28,0,0,12600,12600,100000,28
9,29,100000,100000,12600,12600,200000,29
10,30,0,0,12400,12400,100000,30
10,31,100000,100000,12400,12400,200000,31
11,32,0,0,42500,42500,200000,32
12,33,0,0,42400,42400,200000,33
13,34,0,0,23000,23000,200000,34
